"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"young_female",743200,0.190457153547111,"three+ gen","inter",112,"Belarus",2009,"EEU","EU"
"young_female",33900,0.00868742936658646,"skipped","inter",112,"Belarus",2009,"EEU","EU"
"young_male",291320,0.0783773531097234,"single","inter",112,"Belarus",2009,"EEU","EU"
"young_male",433460,0.116619001369424,"one gen","inter",112,"Belarus",2009,"EEU","EU"
"young_male",2371920,0.638146407345926,"two gen","inter",112,"Belarus",2009,"EEU","EU"
"young_male",587020,0.157933110745812,"three+ gen","inter",112,"Belarus",2009,"EEU","EU"
"young_male",33170,0.00892412742911412,"skipped","inter",112,"Belarus",2009,"EEU","EU"
"old_female",447820,0.384009192484801,"single","un",112,"Belarus",2009,"EEU","EU"
"old_female",433970,0.372132707924231,"nuclear","un",112,"Belarus",2009,"EEU","EU"
"old_female",7940,0.00680861280945317,"complex","un",112,"Belarus",2009,"EEU","EU"
"old_female",276440,0.237049486781516,"extended","un",112,"Belarus",2009,"EEU","EU"
"old_male",99690,0.160611577438013,"single","un",112,"Belarus",2009,"EEU","EU"
"old_male",400010,0.644460197522112,"nuclear","un",112,"Belarus",2009,"EEU","EU"
"old_male",5550,0.00894166169907683,"complex","un",112,"Belarus",2009,"EEU","EU"
"old_male",115440,0.185986563340798,"extended","un",112,"Belarus",2009,"EEU","EU"
"young_female",306320,0.078499509249934,"single","un",112,"Belarus",2009,"EEU","EU"
"young_female",2499380,0.640506997352769,"nuclear","un",112,"Belarus",2009,"EEU","EU"
"young_female",84900,0.0217570133694156,"complex","un",112,"Belarus",2009,"EEU","EU"
"young_female",1011590,0.259236480027882,"extended","un",112,"Belarus",2009,"EEU","EU"
"young_male",291320,0.0783773531097234,"single","un",112,"Belarus",2009,"EEU","EU"
"young_male",2493150,0.670762384681817,"nuclear","un",112,"Belarus",2009,"EEU","EU"
"young_male",82920,0.0223089733621388,"complex","un",112,"Belarus",2009,"EEU","EU"
"young_male",849500,0.22855128884632,"extended","un",112,"Belarus",2009,"EEU","EU"
"total",1145150,0.121747534005107,"single","un",112,"Belarus",2009,"EEU","EU"
"total",5826510,0.619450049649477,"nuclear","un",112,"Belarus",2009,"EEU","EU"
"total",181310,0.0192761170069127,"complex","un",112,"Belarus",2009,"EEU","EU"
"total",2252970,0.239526299338503,"extended","un",112,"Belarus",2009,"EEU","EU"
"old_female",6800,0.0860541635029107,"single","inter",72,"Botswana",2011,"SAF","AF"
"old_female",5920,0.0749177423437105,"one gen","inter",72,"Botswana",2011,"SAF","AF"
"old_female",12170,0.154011642622121,"two gen","inter",72,"Botswana",2011,"SAF","AF"
"old_female",38450,0.486585674512781,"three+ gen","inter",72,"Botswana",2011,"SAF","AF"
"old_female",15680,0.198430777018476,"skipped","inter",72,"Botswana",2011,"SAF","AF"
"old_male",9970,0.171659779614325,"single","inter",72,"Botswana",2011,"SAF","AF"
"old_male",8990,0.15478650137741,"one gen","inter",72,"Botswana",2011,"SAF","AF"
"old_male",12330,0.212293388429752,"two gen","inter",72,"Botswana",2011,"SAF","AF"
"old_male",20870,0.359331955922865,"three+ gen","inter",72,"Botswana",2011,"SAF","AF"
"old_male",5920,0.101928374655647,"skipped","inter",72,"Botswana",2011,"SAF","AF"
"total",219600,0.108846504619533,"single","inter",72,"Botswana",2011,"SAF","AF"
"total",227640,0.112831595225822,"one gen","inter",72,"Botswana",2011,"SAF","AF"
"total",819580,0.406231412823665,"two gen","inter",72,"Botswana",2011,"SAF","AF"
"total",643350,0.318881597208454,"three+ gen","inter",72,"Botswana",2011,"SAF","AF"
"total",107350,0.0532088901225267,"skipped","inter",72,"Botswana",2011,"SAF","AF"
"young_female",75810,0.079397163863346,"single","inter",72,"Botswana",2011,"SAF","AF"
"young_female",86850,0.0909595525858277,"one gen","inter",72,"Botswana",2011,"SAF","AF"
"young_female",421340,0.441276889885005,"two gen","inter",72,"Botswana",2011,"SAF","AF"
"young_female",325300,0.340692486541966,"three+ gen","inter",72,"Botswana",2011,"SAF","AF"
"young_female",45520,0.0476739071238558,"skipped","inter",72,"Botswana",2011,"SAF","AF"
"young_male",127020,0.137229904926534,"single","inter",72,"Botswana",2011,"SAF","AF"
"young_male",125880,0.13599827139153,"one gen","inter",72,"Botswana",2011,"SAF","AF"
"young_male",373740,0.403781331028522,"two gen","inter",72,"Botswana",2011,"SAF","AF"
"young_male",258730,0.279526793431288,"three+ gen","inter",72,"Botswana",2011,"SAF","AF"
"young_male",40230,0.0434636992221262,"skipped","inter",72,"Botswana",2011,"SAF","AF"
